City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,11.56,72,94,2.71,ZA,1681342527
1,punta arenas,-53.15,-70.9167,4.06,70,0,2.06,CL,1681342527
2,lynn haven,30.2455,-85.6483,23.06,49,75,4.63,US,1681342271
3,albany,42.6001,-73.9662,23.23,48,2,2.46,US,1681342508
4,mandalgovi,45.7625,106.2708,4.29,32,91,3.58,MN,1681342528
5,paris,48.8534,2.3488,8.76,78,75,8.75,FR,1681341958
6,ilulissat,69.2167,-51.1,-4.99,93,100,1.03,GL,1681342530
7,thompson,55.7435,-97.8558,-0.91,86,100,4.12,CA,1681342235
8,port alfred,-33.5906,26.891,18.62,61,100,3.64,ZA,1681342531
9,rikitea,-23.1203,-134.9692,25.56,68,28,4.73,PF,1681342531
10,san carlos,9.6612,-68.5827,29.34,57,99,2.18,VE,1681342532
11,aksarka,66.5606,67.7975,-24.29,95,61,1.66,RU,1681342532
12,brandfort,-28.7001,26.4597,6.67,20,88,2.25,ZA,1681342533
13,hilo,19.7297,-155.09,25.85,75,40,5.14,US,1681342534
14,dikson,73.5069,80.5464,-22.08,92,41,8.4,RU,1681342534
15,lebu,-37.6167,-73.65,12.87,94,98,2.61,CL,1681342534
16,canberra,-35.2835,149.1281,17.53,79,40,7.2,AU,1681342535
17,qaanaaq,77.484,-69.3632,-17.88,69,49,0.8,GL,1681342535
18,san severo,41.6897,15.376,12.57,91,4,3.41,IT,1681342535
19,hobart,-42.8794,147.3294,15.7,87,40,2.06,AU,1681342535
20,nuuk,64.1835,-51.7216,-0.66,86,20,4.63,GL,1681342536
21,sakakah,29.9697,40.2064,12.76,53,0,8.27,SA,1681342536
22,kaka,37.3482,59.6143,26.92,14,33,4.0,TM,1681342536
23,mataura,-46.1927,168.8643,11.38,83,100,3.41,NZ,1681342536
24,yendi,9.4427,-0.0099,29.34,52,58,3.17,GH,1681342536
25,sitka,57.0531,-135.33,3.94,81,100,5.66,US,1681342393
26,flin flon,54.7682,-101.865,7.91,49,20,4.12,CA,1681342537
27,vagur,61.4732,-6.8119,6.49,78,75,8.39,FO,1681342537
28,belmonte,-15.8631,-38.8828,24.87,85,8,2.07,BR,1681342537
29,south valley,35.0101,-106.6781,28.07,14,20,8.75,US,1681342538
30,bluff,-46.6,168.3333,11.56,78,93,8.81,NZ,1681342538
31,kaitangata,-46.2817,169.8464,11.55,92,100,4.96,NZ,1681342538
32,sinnamary,5.3833,-52.95,25.59,87,80,4.06,GF,1681342538
33,klaksvik,62.2266,-6.589,5.51,83,100,8.93,FO,1681342538
34,kapaa,22.0752,-159.319,26.99,74,40,6.69,US,1681342539
35,saskylakh,71.9167,114.0833,-10.94,94,100,6.82,RU,1681342539
36,tiznit,29.5833,-9.5,20.67,27,0,1.41,MA,1681342539
37,provideniya,64.3833,-173.3,-13.94,51,0,3.0,RU,1681342539
38,gat,31.61,34.7642,12.1,100,23,5.81,IL,1681342539
39,avarua,-21.2078,-159.775,28.03,69,75,2.57,CK,1681342539
40,bredasdorp,-34.5322,20.0403,13.47,81,100,2.45,ZA,1681342539
41,hasaki,35.7333,140.8333,15.16,36,29,3.96,JP,1681342540
42,tasiilaq,65.6145,-37.6368,2.09,95,92,2.32,GL,1681342540
43,ostrovnoy,68.0531,39.5131,-10.58,88,100,2.09,RU,1681342540
44,geraldton,-28.7667,114.6,14.23,94,16,5.66,AU,1681342540
45,bacolod,10.6667,122.95,28.22,69,16,3.17,PH,1681342540
46,busselton,-33.65,115.3333,19.8,68,79,9.49,AU,1681342542
47,butaritari,3.0707,172.7902,27.6,73,62,2.9,KI,1681342542
48,esperance,-33.8667,121.9,19.09,63,0,4.56,AU,1681342542
49,constitucion,-35.3333,-72.4167,12.07,94,71,2.37,CL,1681342542
50,faya,18.3851,42.4509,16.06,67,9,2.9,SA,1681342542
51,cape town,-33.9258,18.4232,17.43,76,40,1.54,ZA,1681342366
52,ponta do sol,32.6667,-17.1,18.35,66,15,3.25,PT,1681342542
53,jalu,29.0331,21.5482,15.66,36,0,2.27,LY,1681342543
54,liverpool,53.4106,-2.9779,8.23,85,75,12.86,GB,1681342268
55,georgetown,5.4112,100.3354,28.96,82,20,1.54,MY,1681342226
56,cidreira,-30.1811,-50.2056,23.74,78,60,2.86,BR,1681342543
57,yellowknife,62.456,-114.3525,-1.71,64,75,2.06,CA,1681342543
58,nikolskoye,59.7035,30.7861,6.94,89,86,3.84,RU,1681342544
59,paamiut,61.994,-49.6678,-0.06,73,12,2.28,GL,1681342544
60,atuona,-9.8,-139.0333,27.14,67,96,4.12,PF,1681342544
61,aasiaat,68.7098,-52.8699,-4.17,86,100,0.29,GL,1681342544
62,vaini,-21.2,-175.2,29.09,74,75,5.14,TO,1681342544
63,hithadhoo,-0.6,73.0833,28.12,70,14,1.67,MV,1681342544
64,chuy,-33.6971,-53.4616,17.45,76,98,5.62,UY,1681342545
65,mongo,12.1844,18.693,27.64,17,61,3.59,TD,1681342545
66,pevek,69.7008,170.3133,-18.68,87,88,1.61,RU,1681342526
67,saint-philippe,-21.3585,55.7679,23.77,84,30,0.6,RE,1681342545
68,pangnirtung,66.1451,-65.7125,-13.68,89,55,2.32,CA,1681342545
69,vila franca do campo,37.7167,-25.4333,14.23,82,97,1.47,PT,1681342546
70,namibe,-15.1961,12.1522,22.72,68,49,2.0,AO,1681342507
71,north bend,43.4065,-124.2243,11.25,66,40,4.12,US,1681342546
72,sungaipenuh,-2.0833,101.3833,18.41,91,100,0.62,ID,1681342546
73,havre,49.5833,0.3333,9.22,76,100,13.89,FR,1681342546
